@code,コードが示す地域等,@name,ふりがな,"属する「市町村等をまとめた地域等」
(AreaForecastLocalMの@code値)","""気象警報・注意報""及び
""気象特別警報報知""で使用","""竜巻注意情報""で使用",高潮特別警報・警報・注意報発表対象,波浪特別警報・警報・注意報発表対象,"""土砂災害警戒情報""で使用","""指定河川洪水予報""で使用",,,,,,
0110000,北海道札幌市,札幌市,さっぽろし,016012,1,1,0,0,1,1,,,,,,
0110100,北海道札幌市のうち中央区,,,,0,0,0,0,0,0,,,,,,
0110200,北海道札幌市のうち北区,,,,0,0,0,0,0,0,,,,,,
0110300,北海道札幌市のうち東区,,,,0,0,0,0,0,0,,,,,,
0110400,北海道札幌市のうち白石区,,,,0,0,0,0,0,0,,,,,,
0110500,北海道札幌市のうち豊平区,,,,0,0,0,0,0,0,,,,,,
0110600,北海道札幌市のうち南区,,,,0,0,0,0,0,0,,,,,,
0110700,北海道札幌市のうち西区,,,,0,0,0,0,0,0,,,,,,
0110800,北海道札幌市のうち厚別区,,,,0,0,0,0,0,0,,,,,,
0110900,北海道札幌市のうち手稲区,,,,0,0,0,0,0,0,,,,,,
0111000,北海道札幌市のうち清田区,,,,0,0,0,0,0,0,,,,,,
0120200,北海道函館市,函館市,はこだてし,017012,1,1,1,1,1,1,,,,,,
0120300,北海道小樽市,小樽市,おたるし,016031,1,1,1,1,1,1,,,,,,
0120400,北海道旭川市,旭川市,あさひかわし,012012,1,1,0,0,1,1,,,,,,
0120500,北海道室蘭市,室蘭市,むろらんし,015012,1,1,1,1,1,1,,,,,,
0120600,北海道釧路市,釧路市,くしろし,,0,0,0,0,0,1,,,,,,
0120601,気象庁予報警報規程別表第四の二に示す「釧路市釧路」の区域,釧路市釧路,くしろしくしろ,014024,1,1,1,1,1,0,,,,,,
0120602,気象庁予報警報規程別表第四の二に示す「釧路市阿寒」の区域,釧路市阿寒,くしろしあかん,014022,1,1,0,0,1,0,,,,,,
0120603,気象庁予報警報規程別表第四の二に示す「釧路市音別」の区域,釧路市音別,くしろしおんべつ,014024,1,1,1,1,1,0,,,,,,
0120700,北海道帯広市,帯広市,おびひろし,014032,1,1,0,0,1,1,,,,,,
0120800,北海道北見市,北見市,きたみし,,0,0,0,0,0,1,,,,,,
0120801,気象庁予報警報規程別表第四の二に示す「北見市北見」の区域,北見市北見,きたみしきたみ,013020,1,1,0,0,1,0,,,,,,
0120802,気象庁予報警報規程別表第四の二に示す「北見市常呂」の区域,北見市常呂,きたみしところ,013011,1,1,1,1,1,0,,,,,,
0120900,北海道夕張市,夕張市,ゆうばりし,016023,1,1,0,0,1,1,,,,,,
0121000,北海道岩見沢市,岩見沢市,いわみざわし,016023,1,1,0,0,1,1,,,,,,
0121100,北海道網走市,網走市,あばしりし,013011,1,1,1,1,1,1,,,,,,
0121200,北海道留萌市,留萌市,るもいし,012023,1,1,1,1,1,1,,,,,,
0121300,北海道苫小牧市,苫小牧市,とまこまいし,015012,1,1,1,1,1,1,,,,,,
0121400,北海道稚内市,稚内市,わっかないし,011011,1,1,1,1,1,1,,,,,,
0121500,北海道美唄市,美唄市,びばいし,016023,1,1,0,0,1,1,,,,,,
0121600,北海道芦別市,芦別市,あしべつし,016022,1,1,0,0,1,1,,,,,,
0121700,北海道江別市,江別市,えべつし,016012,1,1,0,0,1,1,,,,,,
0121800,北海道赤平市,赤平市,あかびらし,016022,1,1,0,0,1,1,,,,,,
0121900,北海道紋別市,紋別市,もんべつし,013031,1,1,1,1,1,1,,,,,,
0122000,北海道士別市,士別市,しべつし,012011,1,1,0,0,1,1,,,,,,
0122100,北海道名寄市,名寄市,なよろし,012011,1,1,0,0,1,1,,,,,,
0122200,北海道三笠市,三笠市,みかさし,016023,1,1,0,0,1,1,,,,,,
0122300,北海道根室市,根室市,ねむろし,014013,1,1,1,1,1,1,,,,,,
0122400,北海道千歳市,千歳市,ちとせし,016013,1,1,0,0,1,1,,,,,,
0122500,北海道滝川市,滝川市,たきかわし,016022,1,1,0,0,1,1,,,,,,
0122600,北海道砂川市,砂川市,すながわし,016022,1,1,0,0,1,1,,,,,,
0122700,北海道歌志内市,歌志内市,うたしないし,016022,1,1,0,0,1,1,,,,,,
0122800,北海道深川市,深川市,ふかがわし,016021,1,1,0,0,1,1,,,,,,
0122900,北海道富良野市,富良野市,ふらのし,012013,1,1,0,0,1,1,,,,,,
0123000,北海道登別市,登別市,のぼりべつし,015012,1,1,1,1,1,1,,,,,,
0123100,北海道恵庭市,恵庭市,えにわし,016013,1,1,0,0,1,1,,,,,,
0123300,北海道伊達市,伊達市,だてし,,0,0,0,0,0,1,,,,,,
0123301,気象庁予報警報規程別表第四の二に示す「伊達市伊達」の区域,伊達市伊達,だてしだて,015011,1,1,1,1,1,0,,,,,,
0123302,気象庁予報警報規程別表第四の二に示す「伊達市大滝」の区域,伊達市大滝,だてしおおたき,015011,1,1,0,0,1,0,,,,,,
0123400,北海道北広島市,北広島市,きたひろしまし,016013,1,1,0,0,1,1,,,,,,
0123500,北海道石狩市,石狩市,いしかりし,016011,1,1,1,1,1,1,,,,,,
0123600,北海道北斗市,北斗市,ほくとし,017012,1,1,1,1,1,1,,,,,,
0130300,北海道当別町,当別町,とうべつちょう,016011,1,1,0,0,1,1,,,,,,
0130400,北海道新篠津村,新篠津村,しんしのつむら,016011,1,1,0,0,1,1,,,,,,
0133100,北海道松前町,松前町,まつまえちょう,017013,1,1,1,1,1,1,,,,,,
0133200,北海道福島町,福島町,ふくしまちょう,017013,1,1,1,1,1,1,,,,,,
0133300,北海道知内町,知内町,しりうちちょう,017013,1,1,1,1,1,1,,,,,,
0133400,北海道木古内町,木古内町,きこないちょう,017013,1,1,1,1,1,1,,,,,,
0133700,北海道七飯町,七飯町,ななえちょう,017012,1,1,0,0,1,1,,,,,,
0134300,北海道鹿部町,鹿部町,しかべちょう,017012,1,1,1,1,1,1,,,,,,
0134500,北海道森町,森町,もりまち,017012,1,1,1,1,1,1,,,,,,
0134600,北海道八雲町,八雲町,やくもちょう,,0,0,0,0,0,1,,,,,,
0134601,気象庁予報警報規程別表第四の二に示す「八雲町八雲」の区域,八雲町八雲,やくもちょうやくも,017011,1,1,1,1,1,0,,,,,,
0134602,気象庁予報警報規程別表第四の二に示す「八雲町熊石」の区域,八雲町熊石,やくもちょうくまいし,017021,1,1,1,1,1,0,,,,,,
0134700,北海道長万部町,長万部町,おしゃまんべちょう,017011,1,1,1,1,1,1,,,,,,
0136100,北海道江差町,江差町,えさしちょう,017022,1,1,1,1,1,1,,,,,,
