府県予報区,一次細分区域,"市町村等を
まとめた地域",二次細分区域の名称
宗谷地方,宗谷地方,宗谷北部,稚内市、猿払村、豊富町、幌延町
,,宗谷南部,浜頓別町、中頓別町、枝幸町
,,利尻・礼文,礼文町、利尻町、利尻富士町
上川・留萌地方,上川地方,上川北部,士別市、名寄市、和寒町、剣淵町、下川町、美深町、音威子府村、中川町、幌加内町
,,上川中部,旭川市、鷹栖町、東神楽町、当麻町、比布町、愛別町、上川町、東川町、美瑛町
,,上川南部,富良野市、上富良野町、中富良野町、南富良野町、占冠村
,留萌地方,留萌北部,遠別町、天塩町
,,留萌中部,苫前町、羽幌町＊、天売焼尻＊、初山別村
,,留萌南部,留萌市、増毛町、小平町
網走・北見・紋別地方,網走地方,網走東部,斜里町、清里町、小清水町
,,網走西部,北見市常呂＊、網走市、佐呂間町、大空町
,,網走南部,美幌町、津別町
,北見地方,（北見地方）,北見市北見＊、訓子府町、置戸町
,紋別地方,紋別北部,紋別市、滝上町、興部町、西興部村、雄武町
,,紋別南部,遠軽町、湧別町
釧路・根室・十勝地方,釧路地方,釧路北部,弟子屈町
,,釧路中部,釧路市阿寒＊、標茶町、鶴居村
,,釧路南東部,厚岸町、浜中町
,,釧路南西部,釧路市釧路＊、釧路市音別＊、釧路町、白糠町
,根室地方,根室北部,中標津町、標津町、羅臼町
,,根室中部,別海町
,,根室南部,根室市
,十勝地方,十勝北部,上士幌町、鹿追町、新得町、足寄町、陸別町
,,十勝中部,帯広市、音更町、士幌町、清水町、芽室町、幕別町、池田町、豊頃町、本別町、浦幌町
,,十勝南部,中札内村、更別村、大樹町、広尾町
胆振・日高地方,胆振地方,胆振西部,伊達市伊達＊、伊達市大滝＊、豊浦町、壮瞥町、洞爺湖町
,,胆振中部,室蘭市、苫小牧市、登別市、白老町
,,胆振東部,厚真町、安平町、むかわ町
,日高地方,日高西部,日高町日高＊、日高町門別＊、平取町
,,日高中部,新冠町、新ひだか町
,,日高東部,浦河町、様似町、えりも町
石狩・空知・後志地方,石狩地方,石狩北部,石狩市、当別町、新篠津村
,,石狩中部,札幌市、江別市
,,石狩南部,千歳市、恵庭市、北広島市
,空知地方,北空知,深川市、妹背牛町、秩父別町、北竜町、沼田町
,,中空知,芦別市、赤平市、滝川市、砂川市、歌志内市、奈井江町、上砂川町、浦臼町、新十津川町、雨竜町
,,南空知,夕張市、岩見沢市、美唄市、三笠市、南幌町、由仁町、長沼町、栗山町、月形町
,後志地方,後志北部,小樽市、積丹町、古平町、仁木町、余市町、赤井川村
,,羊蹄山麓,ニセコ町、真狩村、留寿都村、喜茂別町、京極町、倶知安町
,,後志西部,島牧村、寿都町、黒松内町、蘭越町、共和町、岩内町、泊村、神恵内村
渡島・檜山地方,渡島地方,渡島北部,八雲町八雲＊、長万部町
,,渡島東部,函館市、北斗市、七飯町、鹿部町、森町
,,渡島西部,松前町、福島町、知内町、木古内町
,檜山地方,檜山北部,八雲町熊石＊、今金町、せたな町
,,檜山南部,江差町、上ノ国町、厚沢部町、乙部町
,,檜山奥尻島,奥尻町
青森県,津軽,東青津軽,青森市、平内町、今別町、蓬田村、外ヶ浜町
,,北五津軽,五所川原市、板柳町、鶴田町、中泊町
,,西津軽,つがる市、鰺ヶ沢町、深浦町
,,中南津軽,弘前市、黒石市、平川市、西目屋村、藤崎町、大鰐町、田舎館村
,下北,（下北）,むつ市、大間町、東通村、風間浦村、佐井村
,三八上北,三八,八戸市、三沢市、六戸町、おいらせ町、三戸町、五戸町、田子町、南部町、階上町、新郷村
,,上北,十和田市、野辺地町、七戸町、横浜町、東北町、六ヶ所村
岩手県,内陸,二戸地域,二戸市、軽米町、九戸村、一戸町
,,盛岡地域,盛岡市、八幡平市、滝沢市、雫石町、葛巻町、岩手町、紫波町、矢巾町
,,花北地域,花巻市、北上市、西和賀町
,,遠野地域,遠野市
,,奥州金ケ崎地域,奥州市、金ケ崎町
,,両磐地域,一関市、平泉町
,沿岸北部,久慈地域,久慈市、普代村、野田村、洋野町
,,宮古地域,宮古市、山田町、岩泉町、田野畑村
,沿岸南部,釜石地域,釜石市、大槌町
,,大船渡地域,大船渡市、陸前高田市、住田町
宮城県,東部,気仙沼地域,気仙沼市、南三陸町
,,石巻地域,石巻市、東松島市、女川町
,,登米・東部栗原,登米市、栗原市東部＊
,,東部大崎,大崎市東部＊、涌谷町、美里町
