名称,区域
羽幌町,北海道苫前郡羽幌町のうち天売焼尻の区域を除く区域
天売焼尻,北海道苫前郡羽幌町のうち天売及び焼尻
北見市常呂,北海道北見市のうち常呂町
北見市北見,北海道北見市のうち北見市常呂の区域を除く区域
釧路市阿寒,北海道釧路市のうち阿寒町
釧路市釧路,北海道釧路市のうち釧路市阿寒及び釧路市音別の区域を除く区域
釧路市音別,北海道釧路市のうち音別町
伊達市伊達,北海道伊達市のうち伊達市大滝を除く区域
伊達市大滝,北海道伊達市のうち大滝区
日高町日高,北海道沙流郡日高町のうち日高総合支所管内
日高町門別,北海道沙流郡日高町のうち日高町日高の区域を除く区域
八雲町八雲,北海道二海郡八雲町のうち八雲町熊石の区域を除く区域
八雲町熊石,北海道二海郡八雲町のうち熊石相沼町、熊石鮎川町、熊石泉岱町、熊石雲石町、熊石大谷町、熊石折戸町、熊石黒岩町、熊石見日町、熊石関内町、熊石平町、熊石畳岩町、熊石館平町、熊石泊川町、熊石鳴神町、熊石西浜町及び熊石根崎町
仙台市東部,宮城県仙台市のうち仙台市西部の区域を除く区域
仙台市西部,宮城県仙台市のうち泉区、青葉区宮城総合支所及び太白区秋保総合支所管内
大和町東部,宮城県黒川郡大和町のうち大和町西部の区域を除く区域
大和町西部,宮城県黒川郡大和町のうち小野、学苑、宮床、もみじケ丘、吉岡、吉岡東、吉岡南及び吉田
大崎市東部,宮城県大崎市のうち大崎市西部の区域を除く区域
大崎市西部,宮城県大崎市のうち岩出山総合支所及び鳴子総合支所管内
栗原市東部,宮城県栗原市のうち栗原市西部の区域を除く区域
栗原市西部,宮城県栗原市のうち一迫、鶯沢、栗駒及び花山
郡山市,福島県郡山市のうち郡山市湖南を除く区域
郡山市湖南,福島県郡山市のうち湖南町
天栄村,福島県岩瀬郡天栄村のうち天栄村湯本の区域を除く区域
天栄村湯本,福島県岩瀬郡天栄村のうち大字田良尾、大字羽鳥及び大字湯本
松本,長野県松本市のうち乗鞍上高地の区域を除く区域
乗鞍上高地,長野県松本市のうち安曇及び奈川
塩尻,長野県塩尻市のうち楢川の区域を除く区域
楢川,長野県塩尻市のうち奈良井、木曽平沢及び贄川
静岡市南部,静岡県静岡市のうち静岡市北部の区域を除く区域
静岡市北部,静岡県静岡市のうち葵区（相淵、相俣、赤沢、井川、岩崎、有東木、梅ヶ島、大沢、大間、奥池ヶ谷、奥仙俣、落合、鍵穴、柿島、上落合、上坂本、桂山、崩野、口坂本、口仙俣、黒俣、小河内、腰越、小島、坂ノ上、坂本、杉尾、内匠、田代、寺島、渡、栃沢、長熊、中沢、長妻田、中平、楢尾、入島、日向、平野、昼居渡、森腰、諸子沢、八草、湯ノ島、油野、横沢、横山及び蕨野に限る。）
浜松市北部,静岡県浜松市のうち天竜区
浜松市南部,静岡県浜松市のうち浜松市北部を除く区域
豊田市西部,愛知県豊田市のうち豊田市東部の区域を除く区域
豊田市東部,愛知県豊田市のうち旭支所、足助支所、稲武支所及び下山支所管内
大津市南部,滋賀県大津市のうち大津市北部の区域を除く区域
大津市北部,滋賀県大津市のうち伊香立支所、小野支所、葛川支所、木戸支所、小松支所及び和邇支所管内
五條市北部,奈良県五條市のうち五條市南部の区域を除く区域
五條市南部,奈良県五條市のうち大塔町
田辺市田辺,和歌山県田辺市のうち田辺市龍神、田辺市中辺路、田辺市大塔及び田辺市本宮の区域を除く区域
田辺市龍神,和歌山県田辺市のうち龍神行政局管内
田辺市中辺路,和歌山県田辺市のうち中辺路行政局管内
田辺市大塔,和歌山県田辺市のうち大塔行政局管内
田辺市本宮,和歌山県田辺市のうち本宮行政局管内
鳥取市北部,鳥取県鳥取市のうち鳥取市南部の区域を除く区域
鳥取市南部,鳥取県鳥取市のうち河原町、用瀬町及び佐治町
美馬市脇・美馬・穴吹,徳島県美馬市のうち美馬市木屋平の区域を除く区域
美馬市木屋平,徳島県美馬市のうち木屋平
つるぎ町半田・貞光,徳島県美馬郡つるぎ町のうちつるぎ町一宇の区域を除く区域
つるぎ町一宇,徳島県美馬郡つるぎ町のうち一宇
西海市（江島・平島を除く）,長崎県西海市のうち西海市（江島・平島）の区域を除く区域
西海市（江島・平島）,長崎県西海市のうち江島及び平島
佐世保市（宇久地域を除く）,長崎県佐世保市のうち佐世保市（宇久地域）の区域を除く区域
佐世保市（宇久地域）,長崎県佐世保市のうち宇久町
上対馬,長崎県対馬市のうち峰町、上県町及び上対馬町
下対馬,長崎県対馬市のうち上対馬の区域を除く区域
薩摩川内市,鹿児島県薩摩川内市のうち薩摩川内市甑島の区域を除く区域
薩摩川内市甑島,鹿児島県薩摩川内市のうち鹿島町、上甑町、里町及び下甑町
